id,subject,body,tone,intent
11,Re: Interview Rescheduling Request | Receptionist Role,"Dear Kaushik Rao,

Thank you for reaching out regarding a potential reschedule of your interview for the Receptionist role at NovaTech.

Once we finalize the hiring team's schedule, we will be in touch with an updated timeline. We appreciate your flexibility and look forward to speaking with you soon.

Best regards,
Siddharth Desai
HR Representative  
NovaTech","Professional, helpful, polite",Respond to candidate interview rescheduling request for Receptionist role
12,Re: Joining Timeline for Museum Curator Role | Curatorial Institute,"Dear Astrid Chen,
 
We appreciate your interest in the Museum Curator position at The Curatorial Institute. Our hiring process typically takes 3-4 months to complete, with multiple rounds of interviews and assessments.

Once we finalize our curatorial team's requirements, we will share a detailed joining timeline with selected candidates. In the meantime, please rest assured that we are reviewing applications and scheduling interviews for suitable candidates.

If you have any additional questions or concerns, feel free to contact us anytime.
 
Best regards,
Evelyn Patel  
Talent Acquisition Coordinator  
The Curatorial Institute","Professional, helpful, polite",Respond to candidate general enquiry regarding joining timeline
13,Re: Benefits and Leave Policy Inquiry | Business Analyst Role,"Dear Aditya Patel,

Thank you for reaching out with your query regarding the benefits and leave policy for the Business Analyst role at NexusCorp. We appreciate your interest in our company culture.

Our comprehensive benefits package includes medical, dental, and vision insurance, as well as a 401(k) matching program. Our paid time off policy allows for 15 days of annual leave and 10 sick days per year. Please note that these details may be shared once the final hiring offer is confirmed.

If you have any further questions or concerns, please don't hesitate to reach out.

Best regards,
Samantha Brown  
HR Generalist  
NexusCorp","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on company benefits
14,Re: Company Benefits and Leave Policy | Physical Therapist Role,"Dear Ethan Kim,
 
Our company offers a comprehensive benefits package, including medical, dental, and vision insurance, as well as life insurance. We also provide a generous PTO policy of 25 days per year, plus 10 paid holidays.

Please note that our leave policies may vary depending on individual circumstances. We will be happy to share more details once we have finalized the employee handbook and benefit package.

If you have any further questions or concerns, please don't hesitate to reach out.
 
Kind regards,
Julia Patel
Talent Acquisition Specialist  
New Horizon Healthcare","Professional, helpful, and polite",Respond to candidate general enquiry regarding company benefits and leave policy
15,Re: Job Location and Work Mode Inquiry | Librarian Role,"Dear Julianne Lee,

Thank you for reaching out regarding the job location and work mode for the Librarian role at Greenwood University Library.

We strive to provide a supportive work environment that accommodates various preferences. While our main office is in the downtown area, we are exploring flexible options for our librarians, including a hybrid model that combines onsite and remote work.

Once we finalize these arrangements, we will share detailed information about the job location and work mode with selected candidates. Please rest assured that your versatility will be considered throughout the hiring process.

If you have any further questions, feel free to contact us.

Kind regards,
Ava Morales  
Human Resources Representative  
Greenwood University Library","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on job location and work mode details
16,Re: Radiologic Technologist Role | Tech Stack Inquiry,"Dear Ryan Thompson,

Thank you for your interest in the Radiologic Technologist position at MedCorp. We appreciate your enthusiasm for the role and are happy to provide more information on the responsibilities and tech stack.

The primary responsibilities of a Radiologic Technologist include patient preparation, performing imaging procedures, and maintaining accurate records. The technical aspects involve operating various medical imaging equipment such as X-ray machines, CT scanners, and MRI units.

Regarding the tech stack, we primarily use radiology information systems (RIS) and picture archiving and communication systems (PACS). We will share more detailed information on these technologies once the hiring process is finalized.

If you have any further questions or concerns, please do not hesitate to reach out.

Best regards,
Evelyn Patel  
Recruiter  
MedCorp","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on role responsibilities and tech stack
17,Re: Salary Range and Compensation Structure | Recruiter Role,"Dear Julian Styles,

Thank you for reaching out regarding the salary range and compensation structure for the Recruiter role at GreenTech Inc.

The current market rate for a Recruiter position at our company ranges from 55,000 to 70,000 annually. However, please note that this figure may be adjusted based on individual performance and company budget changes.

Once we finalize the recruitment plan, we will provide you with the most up-to-date information on compensation structure.

Kind regards,
Evelyn Lee  
Talent Management Specialist  
GreenTech Inc.","Polite, professional, and concise",Respond to candidate general enquiry and provide clarification on salary range and compensation structure
18,Re: Clarification on Bond/Contract Policy for Museum Curator Role,"Dear Julian Lee,

Thank you for your email seeking clarification on the bond/contract policy for our Museum Curator role at The Heritage Centre. We appreciate your interest in joining our team.

The contract details will be shared once the hiring process is finalized and we confirm the selected candidate. In the meantime, please note that our standard contract includes a 12-month probationary period, with the option to extend or terminate the agreement based on performance evaluations.

If you have any further questions, feel free to reach out. We look forward to moving forward in the application process.

Best regards,
Ava Moreno  
Talent Acquisition Specialist  
The Heritage Centre","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on hiring process details
19,Re: Company Benefits and Leave Policy | Bartender Role,"Dear Ethan Patel,

Thank you for reaching out regarding the company benefits and leave policy for the Bartender role at The Social House. We appreciate your interest in joining our team!

Our comprehensive benefits package includes health insurance, paid time off, and discounts on food and drinks. However, please note that details may change once we finalize our hiring process.

We will share more information about our policies once they are confirmed. If you have any other questions or concerns, feel free to reach out.

Best regards,
Ava Lee  
HR Generalist  
The Social House","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on company benefits and leave policy
20,Re: Job Location and Work Mode Inquiry | Social Media Manager Role,"Dear Ethan Patel,

Thank you for your email regarding the job location and work mode for the Social Media Manager role at NovaTech Corporation.

We offer a hybrid work model, allowing our team members to split their time between working from home and working onsite. As for the specific job locations, they will be shared once confirmed with our hiring manager.

If you have any further questions or would like more information about the company culture, please don't hesitate to reach out.

Best regards,
Lily Chen  
Talent Acquisition Coordinator  
NovaTech Corporation","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on job location and work mode
21,Re: Bond/Contract Policy Clarification | Landscape Architect Role,"Dear Julianne Martin,

Thank you for reaching out regarding the bond/contract policy for the Landscape Architect position at GreenSpace Design Studio. We appreciate your interest in our company and role.

Our contract policies are designed to ensure a stable work environment, but details may be finalized once we confirm the candidate's availability for an interview. Our HR team will provide more information on this during the next stages of the hiring process.

If you have any further questions or concerns, please don't hesitate to contact us.

Best regards,
Kai Rios  
Talent Acquisition Specialist  
GreenSpace Design Studio","Professional, helpful, and polite",Clarify bond/contract policy for candidate general enquiry
22,Re: Software Engineer Role | Your Enquiry,"Dear Rohan Patel,

Thank you for reaching out with your query regarding the notice period flexibility for the Software Engineer role at NovaTech Solutions.

We strive to provide a competitive and flexible work environment, but we also need to ensure that all roles are aligned with our business objectives. Once we finalize the details of the hiring process, we will be able to share more information on this topic.

If you have any further questions or would like to discuss your qualifications in more detail, please don't hesitate to contact me.

Best regards,
Aisha Desai  
Talent Acquisition Coordinator  
NovaTech Solutions","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on hiring process details
23,Re: Radiologic Technologist Role | Salary Range and Compensation Structure,"Dear Ethan Nguyen,

Thank you for your interest in the Radiologic Technologist role at MedTech Inc. We're thrilled to hear that you're enthusiastic about this opportunity.

Regarding your query on salary range and compensation structure, please note that we typically finalize these details once the hiring process is completed. However, I can assure you that it will be shared with successful candidates as part of the offer package.

If you'd like to learn more about our benefits and perks, I'd be happy to provide you with some general information on what we offer to our team members. You can also visit our website for more details on company culture and values.

We'll keep your profile under review until further notice.

Best regards,
Julia Hall  
Talent Acquisition Manager  
MedTech Inc.","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on hiring process details
24,Re: Inquiry Regarding Notice Period Flexibility | Graphic Designer Role,"Dear Lucas Brooks,

Thank you for your email regarding notice period flexibility for the Graphic Designer role at Fusion Media Group. 

We will share this detail once we finalize our recruitment plans and confirm all hiring requirements. In the meantime, please feel free to reach out if you have any further questions.

Kind regards,
Ava Kim  
Recruitment Manager  
Fusion Media Group","Professional, helpful, polite",Respond to candidate general enquiry regarding notice period flexibility
25,Rescheduling Interview for PR Specialist Role,"Dear Ryan Thompson,

Thank you for reaching out regarding the interview rescheduling request for the PR Specialist role at GreenTech Inc. We appreciate your flexibility and willingness to accommodate our schedule.

Once we finalize the interview panel, we will share the new interview dates with you. In the meantime, please note that the interview will be conducted by a team consisting of the Marketing Manager and the Communications Director.

We look forward to speaking with you soon.

Best regards,
Julia Patel
Recruiter  
GreenTech Inc.","Polite, professional, and helpful",Respond to candidate's interview rescheduling request
26,Job Location and Work Mode for Policy Analyst Role | Inquiry Response,"Dear Ethan Kim,

Thank you for your interest in the Policy Analyst position at NovaTech Corporation. We appreciate your forward-thinking approach, which aligns with our company's values.

Regarding your inquiry about job location and work mode, we are a hybrid workplace that allows employees to split their time between remote work and onsite collaboration. The exact balance of remote vs. onsite work will depend on the specific role requirements and team needs.

We will share more details on this once we finalize the role specifications. In the meantime, please know that our team is committed to supporting your growth and development as a Policy Analyst.

Best regards,
Julian Lee  
HR Generalist  
NovaTech Corporation","Professional, helpful, polite, and transparent",Respond to candidate general enquiry and provide clarification on hiring process details
27,Re: Eligibility Criteria for PR Specialist Role | Company X,"Dear Julian St. Clair,

Thank you for your interest in the PR Specialist role at Company X. We appreciate your enthusiasm and would like to provide more information on our eligibility criteria.

The ideal candidate should have a minimum of 3 years of experience in public relations or a related field, with a strong portfolio showcasing their communication and writing skills. Additionally, proficiency in social media management tools is highly desirable.

We will share the detailed job description once we finalize it with the hiring team. We appreciate your patience and look forward to discussing this opportunity further.

Kind regards,
Lily Tran  
Talent Acquisition Specialist  
Company X","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on eligibility criteria
28,Re: Bond/Contract Policy Clarification | Architect Role,"Dear Julian St Clair,

Thank you for your inquiry regarding the bond/contract policy for the Architect role at GreenTech Inc.

We require architects to sign a standard contract that outlines our terms and conditions, including payment terms and non-compete clauses. This information is usually shared with selected candidates during the onboarding process once their employment is confirmed.

The details of this contract will be shared with you upon confirmation of your position. If we move forward with your application, you will receive a comprehensive package outlining all aspects of your employment agreement.

Best regards,
Ava Morales  
Recruiter  
GreenTech Inc.","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on bond/contract policy details
29,Re: Company Benefits and Leave Policy | Legal Secretary Role,"Dear Ravi Patel,

Thank you for reaching out regarding the company benefits and leave policy for the Legal Secretary role at NovaTech Corporation. We appreciate your interest in our organization.

Our comprehensive benefits package includes health insurance, retirement plans, paid time off, and various team-building initiatives. The specifics of our leave policy will be shared once we finalize the hiring process and confirm the candidate details with you.

Please feel free to reach out if you have any further questions or concerns.

Best regards,
Kalyani Ghosh  
Human Resources Representative  
NovaTech Corporation","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on company benefits and leave policy
30,Required Documents for Application | Personal Trainer Role,"Dear Kaitlyn Reed,

Thank you for your interest in the Personal Trainer position at FitnessHub. We appreciate your determination to pursue a career in this field.

For our application process, we typically require a resume, a cover letter, and a portfolio of relevant certifications or experience. However, please note that we will share specific document requirements once we finalize the hiring process for this role.

If you have any further questions, feel free to reach out.

Best regards,
Julia Patel  
Talent Acquisition Specialist  
FitnessHub","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on required documents
31,Re: Underwriter Role Responsibilities | Recruitment Inquiry,"Dear Ethan Patel,

Thank you for your interest in the Underwriter role at NovaTech Financial Services. We appreciate your strategic approach to risk management, which aligns with our company's values.

The Underwriter role involves assessing creditworthiness, managing risk exposure, and ensuring compliance with regulatory requirements. The tech stack includes Excel, Word, and various financial software applications.

Please note that the final list of required tools and technologies may be confirmed once your profile review is completed. We will share this information with you as part of our next steps in the hiring process.

Best regards,
Ava Jensen  
Talent Acquisition Manager  
NovaTech Financial Services","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on role responsibilities and tech stack
32,Re: Eligibility Criteria for Architect Role | Application Inquiry,"Dear Kaitlyn Jenkins,

Thank you for your interest in the Architect role at GreenTech Inc. We appreciate your dedication to your craft and are excited about the potential opportunity to discuss this further.

To clarify, our eligibility criteria for architects include a minimum of 5 years of relevant experience in a licensed architecture firm or a related field. Our ideal candidate will have a strong portfolio showcasing their design skills and ability to work collaboratively with cross-functional teams.

We will share more detailed information on the requirements once we finalize our hiring process. In the meantime, please feel free to reach out if you have any further questions.

Best regards,
Ava Moreno  
Hiring Manager  
GreenTech Inc.","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on hiring process details
33,Re: Eligibility Criteria for Pharmacist Role | GreenCare,"Dear Rohan Patel,

Thank you for your interest in the Pharmacist role at GreenCare. We appreciate your enthusiasm and energy, as highlighted in your profile.

Regarding your query on eligibility criteria and experience requirements, we consider candidates with a minimum of 2 years of pharmacy experience or a Master's degree in Pharmacy. However, please note that our hiring process is subject to change, and details will be shared once confirmed.

We will keep you updated with the next steps as we progress through the selection process.

Best regards,
Kavita Jain  
Recruiter  
GreenCare","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on experience requirements
34,Re: Salary Range and Compensation Structure | Nurse Role,"Dear Ethan Patel,

Thank you for reaching out regarding the salary range and compensation structure for our Nurse role at Evergreen Healthcare.

The current market rate for this position is between $70,000 and $90,000 annually, depending on experience. However, please note that these figures are subject to change based on various factors such as budget allocations and external market conditions.

We will be finalizing the compensation structure once our hiring process is complete, and we will share the details with selected candidates at that time.

If you have any further questions or would like to discuss this role in more detail, please don't hesitate to contact me.

Best regards,
Nalini Desai  
Recruitment Coordinator  
Evergreen Healthcare","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on salary range and compensation structure
35,Reschedule Interview Request | HVAC Technician Role,"Dear Ethan Patel,

Thank you for your email requesting a rescheduling of the interview for the HVAC Technician role at GreenTech Inc. We appreciate your flexibility and will review our schedule to accommodate your request.

Once we finalize our hiring team's availability, we will share the new interview dates with you.

If you have any further questions or concerns, please don't hesitate to reach out.

Best regards,
Maya Jensen  
Recruiter  
GreenTech Inc.","Professional, helpful, and polite",Respond to candidate general enquiry and reschedule interview request
36,Re: Interview Rescheduling Request | Radiologic Technologist Role,"Dear Kaitlyn Reed,

Thank you for reaching out regarding the interview rescheduling request for the Radiologic Technologist role at Medical Imaging Inc.

Once we confirm your availability, we will share the new interview date and time with you. Please note that our hiring team reviews all requests on a case-by-case basis.

If there's any additional information you can provide to facilitate this process, please don't hesitate to reach out.

Best regards,
Avery Patel  
HR Business Partner  
Medical Imaging Inc","Professional, helpful, and polite",Respond to candidate interview rescheduling request
37,Re: Salary Range Inquiry for Legal Secretary Role,"Dear Ethan Patel,

Thank you for reaching out regarding your query about the salary range and compensation structure for the Legal Secretary role at NovaTech Inc.

The salary range for this position is between $55,000 to $65,000 annually, depending on experience. Our compensation package includes a comprehensive benefits program, performance-based bonuses, and opportunities for professional growth.

Please note that we will finalize our compensation structure once we confirm your qualifications and fit within the team. We look forward to discussing further details with you.

Best regards,
Ava Kim  
Recruiter  
NovaTech Inc.","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on salary range and compensation structure
38,Bond/Contract Policy Clarification for Executive Assistant Role | Recruitment Team,"Dear Ethan Kim,

Thank you for your email regarding the bond/contract policy for the Executive Assistant role at Synergy Corporation. We appreciate your interest in our organization and would be happy to clarify this aspect for you.

Our standard employment contract includes a 6-month probationary period, followed by an annual review for performance-based bonuses. Any additional clauses or bonds are subject to change, pending finalization of the terms with our internal stakeholders.

We will share more detailed information on the bond/contract policy once we have confirmed all the necessary details. In the meantime, please feel free to reach out if you have any further questions.

Best regards,
Aisha Patel  
HR Generalist  
Synergy Corporation","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on hiring process details
39,Interview Process for UX/UI Designer Role,"Dear Ethan Patel,

Thank you for reaching out regarding the interview process for the UX/UI Designer role at NovaTech Corporation.

We have a multi-round interview process, which typically includes an initial screening round followed by 2 technical design discussions and a final behavioral review with our design team. The exact number of rounds may vary depending on the hiring manager's requirements.

We will share more details about the interview process once we finalize the role description and requirements. In the meantime, if you have any further questions or concerns, please don't hesitate to contact us.

Best regards,
Astrid Lee  
Talent Acquisition Specialist  
NovaTech Corporation","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on hiring process details
40,Re: Clarification on Content Strategist Role Details | Application Inquiry,"Dear Julian Lee,

Thank you for your email regarding the Content Strategist role at GreenTech Inc. We appreciate your interest in joining our team and are happy to provide clarification on the contract policy.

Please note that the employment contract will outline the terms of your employment, including salary, benefits, and any bonuses or incentives. This information is typically shared once an offer has been extended. Our HR department will ensure that all necessary details are included in the contract, but we will not finalize the specifics until we confirm you are moving forward with the hiring process.

If you have any further questions or concerns, please don't hesitate to reach out.

Best regards,
Mia Patel  
Recruiter - Content Strategy Team  
GreenTech Inc.","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on contract policy details
41,Re: Interview Rescheduling Request | Event Planner Role,"Dear Ryan Thompson,

Thank you for reaching out regarding the rescheduling of your interview for the Event Planner position at GreenTec Solutions.

Once we confirm the details, we will share them with you. We apologize for any inconvenience caused and appreciate your patience as we finalize the arrangements.

Please let us know if you have any further questions or concerns.

Kind regards,
Ava Morales  
HR Generalist  
GreenTec Solutions","Professional, helpful, polite",Respond to candidate interview rescheduling request
42,Re: Inquiry Regarding Animator Role | Application Process,"Dear Ethan Patel,

Thank you for reaching out regarding the Animator role at NovaTech Corporation. We appreciate your interest in our company.

The Animator role involves creating visual content, working with a team to develop storyboards, and collaborating with designers to implement projects. We will share more details on the tech stack once we finalize it.

Please be assured that your profile is under review, and we will reach out as soon as the hiring process progresses.

Best regards,
Ava Chen  
Talent Acquisition Specialist  
NovaTech Corporation","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on role responsibilities
43,Application Status Update | Game Designer Role,"Dear Elara Vex,
 
Thank you for your email regarding the status of your application for the Game Designer role at NovaSpire Games. We appreciate your patience and interest in this position.
 
We are currently reviewing all applicants, and once we finalize our selection process, we will be in touch to provide an update on your application. In the meantime, we recommend checking our website periodically for any updates or changes to the hiring timeline.
 
If you have any further questions, please don't hesitate to reach out.

Kind regards,
Aiden Patel
Recruiter  
NovaSpire Games","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on application status update
44,Re: Eligibility Criteria and Experience Requirement | Mobile App Developer Role,"Dear Kaitlyn Wallace,

Thank you for reaching out regarding the eligibility criteria and experience requirement for the Mobile App Developer role at NovaTech Inc.

To be eligible, candidates must have a Bachelor's degree in Computer Science or related field, with a minimum of 3 years of relevant experience. For this specific role, we are looking for a candidate with expertise in mobile app development using Java and Android.

We will share more detailed information on the hiring process once the job description is finalized. In the meantime, please feel free to reach out if you have any further questions.

Best regards,
Ethan Lee  
Recruitment Specialist  
NovaTech Inc","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on experience requirement
45,Re: Interview Rescheduling Request | CNC Machinist Role,"Dear Julianne Nguyen,

Thank you for your email requesting a reschedule of the upcoming interview for the CNC Machinist role at Precision Engineered Solutions. We appreciate your enthusiasm and motivation for the position.

We will review our schedule and get back to you with an alternative date once confirmed by our hiring team. Please note that we may require some additional information from you in the meantime, which will be shared once the details are finalized.

If you have any further questions or concerns, please don't hesitate to reach out.

Best regards,
Katherine Brown  
Talent Acquisition Coordinator  
Precision Engineered Solutions","Professional, helpful, polite",Respond to candidate interview rescheduling request
46,Re: Inquiry Regarding Contract Policy | Copywriter Role,"Dear Ethan Thompson,

Thank you for reaching out with your question regarding our contract policy for the Copywriter role at Fusion Media.

Our company's bond and contract policies are designed to ensure transparency and fairness in all agreements. These policies will be shared once finalized and reviewed by relevant stakeholders. We typically provide a comprehensive overview of these policies during the onboarding process for new hires.

We appreciate your interest in our company and look forward to discussing this further with you if needed.

Kind regards,
Julia Patel  
Talent Acquisition Specialist  
Fusion Media","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on contract policy details
47,Re: Bond/Contract Policy Clarification - Investment Banker Role,"Dear Ethan Kim,
 
We appreciate your interest in our Investment Banker role at Atlas Financial Services. Regarding bond and contract policy, we typically have a comprehensive training program for new hires.

The specific details of the policy will be shared once we finalize the contract with the provider. Once confirmed, you can expect to receive an overview of the training, which includes both theoretical and practical components.

If you have any further questions or concerns, please do not hesitate to reach out.
Kind regards,
Ava Patel  
Talent Acquisition Manager  
Atlas Financial Services","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on bond/contract policy details
48,Re: Job Location and Work Mode Inquiry | Sociologist Role,"Dear Kaitlyn Thompson,

Thank you for your interest in the Sociologist role at Nexus Insights. We appreciate your dedication to this field.

Regarding your inquiry about job location and work mode, please note that our team is still finalizing the arrangement. Once confirmed, we will share the details with you.

We value transparency in our hiring process and will provide updates as soon as possible.

Best regards,
Sofia Rodriguez  
HR Representative  
Nexus Insights","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on work mode and location details
49,Re: Job Location and Work Mode for Bank Teller Role | Interview,"Dear Julian Lee,

Thank you for your email regarding the job location and work mode for our Bank Teller role. We appreciate your interest in this position and would like to provide some clarification.

Our Bank Teller role is based at one of our branches located in downtown area, however we are currently exploring options for a hybrid model which will allow employees to split their time between working onsite and remotely. The exact details of the work mode arrangement will be shared once confirmed.

If you have any further questions or concerns, please don't hesitate to reach out.

Best regards,
Ava Morales  
Recruitment Coordinator","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on job location and work mode
50,Re: Application Documents for Teacher Role | Aurora Educational Services,"Dear Ethan Lee,

Thank you for reaching out regarding the application documents required for our Teaching position at Aurora Educational Services. 

We typically require applicants to submit their certified copy of teaching degree, a valid passport copy, and recent ID proof as part of the initial screening process.

The final set of required documents will be shared once we confirm your profile review with our internal team. You can expect an update via email shortly.

If you have any further questions or concerns, please don't hesitate to reach out.

Best regards,
Kavita Patel  
Talent Management Specialist  
Aurora Educational Services","Professional, helpful, and polite",Respond to candidate general enquiry and provide clarification on hiring process details
51,Re: Bond/Contract Policy Clarification | Occupational Therapist Role,"Dear Liam Ross,
 
Thank you for reaching out regarding the bond/contract policy for the Occupational Therapist role at GreenCare Inc.
 
We are currently finalizing our policies and will share them with selected candidates once confirmed. The terms of the agreement may include a probationary period, training requirements, and performance expectations.
 
Please note that the contract details will be provided to all successful applicants upon offer acceptance.

Best regards,
Julia Patel  
Recruitment Specialist  
GreenCare Inc.","Professional, helpful, polite",Respond to candidate general enquiry and provide clarification on hiring process details
